MetodoPagamento,ValorMensalidade,DataEmissao,PrecoTotal,DataPagamento,Cliente
NULL, 25.00, 2023-01-10, 26.25, NULL, 1
NULL, 25.00, 2023-02-10, 28.75, NULL, 1
NULL, 30.00, 2023-01-15, 36.50, NULL, 2
NULL, 30.00, 2023-02-15, 34.00, NULL, 2
NULL, 25.00, 2023-01-01, 29.00, NULL, 4
NULL, 25.00, 2023-02-01, 37.50, NULL, 4
NULL, 25.00, 2023-03-01, 29.00, NULL, 4
NULL, 25.00, 2023-04-01, 29.00, NULL, 4
NULL, 30.00, 2023-01-12, 35.25, NULL, 5
NULL, 30.00, 2023-02-12, 45.00, NULL, 5
NULL, 30.00, 2023-03-12, 35.25, NULL, 5
NULL, 35.00, 2023-01-15, 35.00, NULL, 6
NULL, 25.00, 2023-01-02, 30.25, NULL, 7
NULL, 25.00, 2023-02-02, 45.75, NULL, 7
NULL, 30.00, 2023-01-05, 35.25, NULL, 8
NULL, 30.00, 2023-02-05, 66.25, NULL, 8
NULL, 30.00, 2023-03-05, 35.25, NULL, 8
NULL, 25.00, 2023-01-19, 25.00, NULL, 10
